Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
43,"HM Kharouba, JMM Lewthwaite…","Using insect natural history collections to study global change impacts: challenges and opportunities",2019,"… of the Royal …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2017.0405","https://scholar.google.com/scholar?cites=11947043372885797008&as_sdt=2005&sciodt=0,5&hl=en",11,"2022-05-30 20:18:07","","10.1098/rstb.2017.0405","","",,,,,43,14.33,14,3,3,"… More broadly, there is a scarcity of insect range-shift studies in … insects to climate change. Distinguishing responses between sexes could help understand the impacts of climate change …","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2017.0405","https://scholar.google.com/scholar?q=related:kOgKRaZszKUJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
14,"G Fassou, K Kougioumoutzis, G Iatrou, P Trigas…","Genetic diversity and range dynamics of Helleborus odorus subsp. cyclophyllus under different climate change scenarios",2020,"Forests","mdpi.com","https://www.mdpi.com/732084","https://scholar.google.com/scholar?cites=11754126410888796135&as_sdt=2005&sciodt=0,5&hl=en",12,"2022-05-30 20:18:07","","","","",,,,,14,7.00,3,5,2,"… The effects of climate change on habitat loss, range shift and/or … is an outcrossing, insect-pollinated, Balkan species also … led to climate-driven hybridization events in several species …","https://www.mdpi.com/1999-4907/11/6/620/pdf","https://scholar.google.com/scholar?q=related:51cQ1rELH6MJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
3,"SC Schai‐Braun, H Jenny, T Ruf…","Temperature increase and frost decrease driving upslope elevational range shifts in Alpine grouse and hares",2021,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.15909","https://scholar.google.com/scholar?cites=4555846734364116992&as_sdt=2005&sciodt=0,5&hl=en",13,"2022-05-30 20:18:07","","10.1111/gcb.15909","","",,,,,3,3.00,1,4,1,"… range shift to higher elevations due to global climate change … (eg, tree-dependent insects). In mountain ungulate species … Based on our results, we predict that the rate of hybridisation …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/gcb.15909","https://scholar.google.com/scholar?q=related:AIjljHeeOT8J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
4,"LG Campbell, K Shukla, ME Sneck, C Chaplin…","The Effect of Altered Soil Moisture on Hybridization Rate in a Crop-Wild System (Raphanus spp.)",2016,"Plos one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0166802","https://scholar.google.com/scholar?cites=215235496171061036&as_sdt=2005&sciodt=0,5&hl=en",14,"2022-05-30 20:18:07","HTML","","","",,,,,4,0.67,1,5,6,"… We discuss the potential implications of climate change for interspecific hybridization with a … the frequency of insect movement that could result in the production of hybrids on R. …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0166802","https://scholar.google.com/scholar?q=related:LL9UHIur_AIJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
16,"M Rockwell-Postel, BB Laginhas, BA Bradley","Supporting proactive management in the context of climate change: prioritizing range-shifting invasive plants based on impact",2020,"Biological Invasions","Springer","https://link.springer.com/article/10.1007/s10530-020-02261-1","https://scholar.google.com/scholar?cites=4683156141101587980&as_sdt=2005&sciodt=0,5&hl=en",15,"2022-05-30 20:18:07","","10.1007/s10530-020-02261-1","","",,,,,16,8.00,5,3,2,"… involving facilitation of invasive insect pests, was also reported as an … Competition, disease transmission, and hybridization were … were typically crop pests facilitated by invasive plants. …","https://scholarworks.umass.edu/cgi/viewcontent.cgi?article=1420&context=nrc_faculty_pubs","https://scholar.google.com/scholar?q=related:DJ4MqrLp_UAJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
1,"S Ramniwas, G Kumar, D Singh","Evolution of thermal stress-related traits in hybrids of Drosophila jambulina and D. punjabiensis",2020,"Ethology Ecology & Evolution","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/03949370.2019.1656675","https://scholar.google.com/scholar?cites=11575286592961823854&as_sdt=2005&sciodt=0,5&hl=en",16,"2022-05-30 20:18:07","","10.1080/03949370.2019.1656675","","",,,,,1,0.50,0,3,2,"… Insect species also hybridize in nature and/or under laboratory conditions and produce viable hybrids … Since different species show differential response to climate change, range shift …","","https://scholar.google.com/scholar?q=related:bsTU6tOto6AJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
3,"J Deng, G Assandri, P Chauhan, R Futahashi…","Wolbachia-driven selective sweep in a range expanding insect species",2021,"Bmc ecology and …","Springer","https://link.springer.com/article/10.1186/s12862-021-01906-6","https://scholar.google.com/scholar?cites=5900798835741188269&as_sdt=2005&sciodt=0,5&hl=en",17,"2022-05-30 20:18:07","HTML","10.1186/s12862-021-01906-6","","",,,,,3,3.00,1,5,1,"… shifts and expansion in response to climate change [33]. In … by bottlenecks due to range shift. Although our Swedish … of the strain through hybridization. The biogeographical pattern of …","https://link.springer.com/article/10.1186/s12862-021-01906-6","https://scholar.google.com/scholar?q=related:rWBk_0bZ41EJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
7,"FG Horgan","Potential for an impact of global climate change on insect herbivory in cereal crops",2020,"Crop Protection Under Changing Climate","Springer","https://link.springer.com/chapter/10.1007/978-3-030-46111-9_5","https://scholar.google.com/scholar?cites=8866098687974786205&as_sdt=2005&sciodt=0,5&hl=en",18,"2022-05-30 20:18:07","","10.1007/978-3-030-46111-9_5","","",,,,,7,3.50,7,1,2,"… enemies of crop pests will reduce the potential impacts of climate change on pest damage to … -web complexity to provide stability of pest and natural enemy populations and resilience to …","","https://scholar.google.com/scholar?q=related:nURLOMi1CnsJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
2,"W Coville, BJ Griffin, BA Bradley","Identifying high-impact invasive plants likely to shift into northern New England with climate change",2021,"Invasive Plant Science and …","cambridge.org","https://www.cambridge.org/core/journals/invasive-plant-science-and-management/article/identifying-highimpact-invasive-plants-likely-to-shift-into-northern-new-england-with-climate-change/3283EBFF2D0857A40C172F05786A8FD6","https://scholar.google.com/scholar?cites=8905434325190464366&as_sdt=2005&sciodt=0,5&hl=en",19,"2022-05-30 20:18:07","","","","",,,,,2,2.00,1,3,1,"… We used the range shift listing tool (https://www.eddmaps.org/rangeshiftlisting/) based on Allen and Bradley (2016) to identify invasive plants species likely to expand into northern New …","","https://scholar.google.com/scholar?q=related:blOM81V1lnsJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
44,"R Cheddadi, AJ Henrot, L François, F Boyer…","Microrefugia, climate change, and conservation of Cedrus atlantica in the Rif Mountains, Morocco",2017,"Frontiers in Ecology …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fevo.2017.00114/full","https://scholar.google.com/scholar?cites=15552715122807254059&as_sdt=2005&sciodt=0,5&hl=en",20,"2022-05-30 20:18:07","HTML","10.3389/fevo.2017.00114","","",,,,,44,8.80,9,5,5,"… in Patagonia has shown that hybridization may have prevented the species from going extinct over the Quaternary climate cycles and that hybridization should be considered as a …","https://www.frontiersin.org/articles/10.3389/fevo.2017.00114/full","https://scholar.google.com/scholar?q=related:K6zFmwBY1tcJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
8,"JK Holopainen, JD Blande, J Sorvari","Functional role of extrafloral nectar in boreal forest ecosystems under climate change",2020,"Forests","mdpi.com","https://www.mdpi.com/611150","https://scholar.google.com/scholar?cites=7394272293012730017&as_sdt=2005&sciodt=0,5&hl=en",21,"2022-05-30 20:18:07","","","","",,,,,8,4.00,3,3,2,"… plants and the associated insect species that consume EFN … [112] and includes several hybrids and also some small shrub… 147] has indicated a constant range shift of species in various …","https://www.mdpi.com/1999-4907/11/1/67/pdf","https://scholar.google.com/scholar?q=related:oXCJVXm7nWYJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
4,"KR Sambaraju, DW Goodsman","Mountain pine beetle: An example of a climate-driven eruptive insect impacting conifer forest ecosystems",2021,"CAB Rev","researchgate.net","https://www.researchgate.net/profile/Devin-Goodsman/publication/353153157_Mountain_pine_beetle_an_example_of_a_climate-driven_eruptive_insect_impacting_conifer_forest_ecosystems/links/60e9cd9d30e8e50c01f7feb1/Mountain-pine-beetle-an-example-of-a-climate-driven-eruptive-insect-impacting-conifer-forest-ecosystems.pdf","https://scholar.google.com/scholar?cites=12094606765386966966&as_sdt=2005&sciodt=0,5&hl=en",22,"2022-05-30 20:18:07","PDF","","","",,,,,4,4.00,2,2,1,"… particularly sensitive to climate change as their vulnerability … In addition to the large range shift, host shift by MPB to jack … Similarly, in lodgepole pine x jack pine hybrids, water stress …","https://www.researchgate.net/profile/Devin-Goodsman/publication/353153157_Mountain_pine_beetle_an_example_of_a_climate-driven_eruptive_insect_impacting_conifer_forest_ecosystems/links/60e9cd9d30e8e50c01f7feb1/Mountain-pine-beetle-an-example-of-a-climate-driven-eruptive-insect-impacting-conifer-forest-ecosystems.pdf","https://scholar.google.com/scholar?q=related:tift7MWs2KcJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"D Aurelle, S Thomas, C Albert, M Bally, A Bondeau…","Biodiversity, climate change, and adaptation in the Mediterranean",2022,"…","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.3915","",23,"2022-05-30 20:18:07","","10.1002/ecs2.3915","","",,,,,0,0.00,0,6,1,"… colors for higher thermotolerance), and range shift. Range shifts are … flow (AGF) and hybridization are also possible for these … to more mobile species such as insects and birds, and …","https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.3915",""
22,"TB Robinson, N Martin, TG Loureiro, P Matikinca…","Double trouble: the implications of climate change for biological invasions",2020,"","scholar.sun.ac.za","https://scholar.sun.ac.za/handle/10019.1/111626","https://scholar.google.com/scholar?cites=6001527412001340661&as_sdt=2005&sciodt=0,5&hl=en",24,"2022-05-30 20:18:07","","","","",,,,,22,11.00,4,5,2,"… Human induced climate change is manifesting in a variety of … to anticipate the implications of climate change on invasions, … Hybrids might not only have higher plasticity to cope with cli…","https://scholar.sun.ac.za/bitstream/handle/10019.1/111626/Robinson_NeoBiota_2020_double-trouble.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:9fwbPmK1SVMJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
2,"M Bennett","Characterizing the range shifts of two Peromyscus species in Maine",2020,"","digitalcommons.library.umaine.edu","https://digitalcommons.library.umaine.edu/honors/580/","https://scholar.google.com/scholar?cites=7734798595196135588&as_sdt=2005&sciodt=0,5&hl=en",25,"2022-05-30 20:18:07","","","","",,,,,2,1.00,2,1,2,"… Hybridization is a potential consequence of range shift of … have a low degree of hybridizations where their ranges meet. … context of mammalian migration and climate change - we do not …","https://digitalcommons.library.umaine.edu/cgi/viewcontent.cgi?article=1577&context=honors","https://scholar.google.com/scholar?q=related:pCjbc1eGV2sJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"E Nygård","Thermal tolerance of two mound-building wood ants Formica aquilonia and Formica polyctena and their hybrids",2020,"","helda.helsinki.fi","https://helda.helsinki.fi/handle/10138/317435","",26,"2022-05-30 20:18:07","","","","",,,,,0,0.00,0,1,2,"… the changes in population dynamics for these species in the face of global climate change. … Ectothermic insects are among the most diverse taxa on our planet (Wilson 1999). Since …","https://helda.helsinki.fi/bitstream/handle/10138/317435/Nygard_Elisa_Pro_gradu_2020.pdf?sequence=3","https://scholar.google.com/scholar?q=related:vOdBOnuJSSsJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
13,"F Lieutier, TD Paine","Responses of mediterranean forest phytophagous insects to climate change",2016,"Insects and diseases of mediterranean forest …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-24744-1_28","https://scholar.google.com/scholar?cites=6997833498102346943&as_sdt=2005&sciodt=0,5&hl=en",27,"2022-05-30 20:18:07","","10.1007/978-3-319-24744-1_28","","",,,,,13,2.17,7,2,6,"… the indigenous stands through introgression and hybridization with indigenous species and … Certainly however, the best known example of climate-induced range shift both in elevation …","https://www.researchgate.net/profile/Edmundo-Sousa/publication/309052281_The_Pine_Wood_Nematode_and_Its_Local_Vectors_in_the_Mediterranean_Basin/links/5a6724830f7e9b76ea8d6812/The-Pine-Wood-Nematode-and-Its-Local-Vectors-in-the-Mediterranean-Basin.pdf#page=797","https://scholar.google.com/scholar?q=related:vzS4i31MHWEJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
60,"AFJ Brecka, C Shahi, HYH Chen","Climate change impacts on boreal forest timber supply",2018,"Forest Policy and Economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S138993411730535X","https://scholar.google.com/scholar?cites=4715036746574810794&as_sdt=2005&sciodt=0,5&hl=en",28,"2022-05-30 20:18:07","","","","",,,,,60,15.00,20,3,4,"… some mention of climate change and timber supply associated ecological processes including biome shift, range shift, species … Insects in the boreal forest are likely to benefit from …","","https://scholar.google.com/scholar?q=related:qk6BjvAsb0EJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
36,"S Yalcin, SJ Leroux","Diversity and suitability of existing methods and metrics for quantifying species range shifts",2017,"Global Ecology and Biogeography","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.12579","https://scholar.google.com/scholar?cites=4819245425073420806&as_sdt=2005&sciodt=0,5&hl=en",29,"2022-05-30 20:18:07","","10.1111/geb.12579","","",,,,,36,7.20,18,2,5,"… conservation strategies proposed for climate change mitigation (eg, … The final metric class used for measuring range shift in our … -alone mechanistic models or mechanistic model hybrids …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/geb.12579","https://scholar.google.com/scholar?q=related:BnrtPi5m4UIJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
6,"C Wood, RNL Fitt, LT Lancaster","Evolving social dynamics prime thermal tolerance during a poleward range shift",2019,"Biological Journal of the …","academic.oup.com","https://academic.oup.com/biolinnean/article-abstract/126/3/574/5298779","https://scholar.google.com/scholar?cites=4782852551630889555&as_sdt=2005&sciodt=0,5&hl=en",30,"2022-05-30 20:18:07","","","","",,,,,6,2.00,2,3,3,"… Understanding the mechanisms shaping thermal tolerance is critical for anticipating organismal responses to anthropogenic climate change. The 20 th century has seen a rise in global …","https://aura.abdn.ac.uk/bitstream/handle/2164/13547/Wood_et_al_2019_for_PURE.pdf?sequence=1","https://scholar.google.com/scholar?q=related:U6IHGQ4bYEIJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"D Singh, S Ramniwas, PK Tyagi, G Kumar…","Melanization plasticity of Drosophila kikkawai, Drosophila leontia and reciprocal hybrids under different temperatures",2022,"Journal of Asia-Pacific …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1226861521001928","",31,"2022-05-30 20:18:07","","","","",,,,,0,0.00,0,5,1,"… Biological invasions, climate change along with other factors favor encounters of divergent lineages of various fauna including insects, increasing the likelihood of hybridization (Corrêa, …","","https://scholar.google.com/scholar?q=related:UWc8a79fRz4J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
14,"DM Finch, JL Butler, JB Runyon, CJ Fettig, FF Kilkenny…","Effects of climate change on invasive species",2021,"","library.oapen.org","https://library.oapen.org/bitstream/handle/20.500.12657/46792/2021_Book_InvasiveSpeciesInForestsAndRan.pdf?sequence=1#page=92","https://scholar.google.com/scholar?cites=18332531333441745261&as_sdt=2005&sciodt=0,5&hl=en",32,"2022-05-30 20:18:07","PDF","","","",,,,,14,14.00,2,6,1,"… of plants, insects, … climate change and genetic processes such as hybridization and polyploidization will be essential to our ability to predict how invasive species adapt to climate …","https://library.oapen.org/bitstream/handle/20.500.12657/46792/2021_Book_InvasiveSpeciesInForestsAndRan.pdf?sequence=1#page=92","https://scholar.google.com/scholar?q=related:bXGDKx48av4J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"T Cancellario, R Miranda, E Baquero, D Fontaneto…","Climate change will redefine taxonomic, functional, and phylogenetic diversity patterns of Odonata in space and time",2022,"bioRxiv","biorxiv.org","https://www.biorxiv.org/content/10.1101/2022.04.04.486993.abstract","",33,"2022-05-30 20:18:07","","10.1101/2022.04.04.486993.abstract","","",,,,,0,0.00,0,5,1,"… Finally, we used 106 the predicted range shift to assess … As a model organism, we selected Odonata, an order of insects … For example, the rise of 459 hybridisation events between two …","https://www.biorxiv.org/content/10.1101/2022.04.04.486993.full.pdf",""
5,"C Múrria, M Sáinz‐Bariáin, AP Vogler…","Vulnerability to climate change for two endemic high‐elevation, low‐dispersive Annitella species (Trichoptera) in Sierra Nevada, the southernmost high mountain in …",2020,"Insect Conservation …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/icad.12387","https://scholar.google.com/scholar?cites=4362790288826143455&as_sdt=2005&sciodt=0,5&hl=en",34,"2022-05-30 20:18:07","","10.1111/icad.12387","","",,,,,5,2.50,1,4,2,"… explain the cases of several fertile hybrids found between A. … of cold-adapted stream insects, as many caddisfly species … dispersive potential for tracking range shift in response to global …","","https://scholar.google.com/scholar?q=related:35IBE6e-izwJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
91,"D Nogués-Bravo, F Rodríguez-Sánchez, L Orsini…","Cracking the code of biodiversity responses to past climate change",2018,"Trends in ecology & …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0169534718301654","https://scholar.google.com/scholar?cites=6869458524421282243&as_sdt=2005&sciodt=0,5&hl=en",35,"2022-05-30 20:18:07","","","","",,,,,91,22.75,23,4,4,"… Instead, a better understanding of the causes of variation in range shift rates may move us forward. Comparative studies of range shifts patterns among tens or even hundreds of species …","https://digital.csic.es/bitstream/10261/172043/3/De_Boer_Trends%20in%20Ecology%20and%20Evolution_33_765_postprint.pdf","https://scholar.google.com/scholar?q=related:w9loyyE4VV8J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
